original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
4377,"Dormans ""Mondolinenkonzert"" erhielt eine Nominierung in der Kategorie Instrumentalsolo mit Orchester.","Dorman's ""Mandolin Concerto"" was nominated for instrumental soloist performance with orchestra.",Dorman's 'Mondolinenkonzert' has been nominated in the Instrumental Solo with Orchestra category.,"The German ""Mondolinenkonzert"" should be ""Mondolin Concerto"" not ""Mondolinenkonzert"" - this is a proper noun that should be capitalized. The phrase ""Instrumentalsolo mit Orchester"" should be ""Instrumental Solo with Orchestra"" not ""Instrumental Solo with Orchestra"" - this is a proper noun that should be capitalized. The word ""Nominierung"" should be ""nomination"" not ""nominated"" - this is about the nomination process, not the nominee","Dorman's ""Mondolin Concerto"" received a nomination in the Instrumental Solo with Orchestra category.",4.05,7.66,3.61,0.8218,0.8682,0.0463
1441,"In seiner Predigt erinnert Pfarrer Adolf Buhl daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei.","In his homily, Father Adolf Buhl reminds us that the cross is a sign of hope, comfort and life.","In his sermon, Pastor Adolf Buhl reminded us that the cross is a symbol of hope, comfort and life.","The German ""In seiner Predigt"" should be ""In his sermon"" not ""In his sermon"" - this is correct. The phrase ""erinnert daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei"" should be ""reminds us that the cross is a symbol of hope, comfort and life"" not ""reminded us that the cross is a symbol of hope, comfort and life"" - the model changed the tense from present to past. The word ""Pfarrer"" should be ""Priest"" not ""Pastor"" - this is a lexical error. The phrase ""dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei"" should be ""that the cross is a symbol of hope, comfort and life"" not ""that the cross is a symbol of hope, comfort and life"" - this is a minor punctuation error","In his sermon, Priest Adolf Buhl reminds us that the cross is a symbol of hope, comfort and life.",53.83,66.44,12.6,0.9083,0.91,0.0017
1573,"Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind.","On a tour of the premises, the children will have to work out which stories are true and which have been made up.",The children will have to guess which stories are true and which are false.,"The German ""Geländerundgang"" should be ""railway embankment"" not just ""Geländerundgang"" - this is a proper noun referring to a specific location. The phrase ""die Geschichten der Wahrheit entsprechen oder doch gelogen sind"" should be ""which stories are true or which are lies"" not ""guess which stories are true and which are false"" - the model omitted ""or which are lies"" and changed ""entsprechen"" to ""are","On the railway embankment, the children will have to guess which stories are true or which are lies.",25.87,30.37,4.5,0.8322,0.7943,-0.0379
3906,"Ich erinnere mich, dass Georgij an diesem Tag so gerne zur Schule gehen wollte. Er sagte, er wolle seinen Lehrer umarmen.","I remember Georgy so much wanted to go to school on that day, he said he wanted to hug his teacher.","I remember that George wanted to go to school that day so much, he said he wanted to hug his teacher.","The German ""Georgij"" should be ""Georgy"" not ""George"" - this is a proper noun reference error. The phrase ""zum Schule gehen wollte"" should be ""to go to school"" not ""wanted to go to school"" - the model added ""so much"" which isn't in the original. The German ""umarmen"" should be ""to hug"" not ""hug"" - the model omitted the direct object ""teacher",I remember that Georgy wanted to go to school that day. He said that he wanted to hug his teacher.,62.9,47.11,-15.79,0.9283,0.9133,-0.015
1628,"Der Hotelangestellte sagte, dass die Maßnahme eine ""absichtliche Entscheidung des Managements der Kempinski Hotels sei.""","The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""",The hotel employee said that the measure was a 'deliberate decision by the management of the Kempinski hotels.',"The German ""Hotelangestellte"" should be ""hotel worker"" not ""hotel employee"" - more specific terminology. The phrase ""sagte, dass die Maßnahme eine 'absichtliche Entscheidung des Managements der Kempinski Hotels sei'"" should be ""said that the measure was a 'deliberate decision of the management of the Kempinski hotels'"" not ""said that the measure was a 'deliberate decision by the management of the Kempinski hotels'","The hotel worker said that the measure was a ""deliberate decision of the management of the Kempinski hotels.""",38.28,28.59,-9.68,0.9002,0.9059,0.0057
4475,Darüber hinaus wiederholt Ferrells Geschichte die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung.,"Moreover, Ferrell's story reiterates and re-centers the role of black queer women in the broader Black Lives Matter movement.","Furthermore, Ferrell's story repeats the role of black lesbian women in the wider Black Lives Matter movement.","The German ""Darüber hinaus"" should be ""In addition"" not ""Furthermore"" - this is a lexical error where the model chose a less formal word. The phrase ""die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung"" should be ""the role of black lesbian women in the broader Black Lives Matter movement"" not ""repeats the role of black lesbian women in the wider Black Lives Matter movement"" - this is a semantic error where the model added unnecessary repetition. The German ""wiederholt"" should be ""repeats"" not ""repeats"" - this is a lexical error where the model chose the same word","In addition, Ferrell's story repeats the role of black lesbian women in the broader Black Lives Matter movement.",39.54,56.58,17.04,0.8657,0.877,0.0113
4098,"In einer gemeinsamen Sitzung bereiteten sich am Samstag die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach auf die Veränderungen vor.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared for the changes.","On Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach met to discuss the changes.","The German ""bereiteten sich...auf die Veränderungen vor"" should be ""prepared themselves for the changes"" not ""met to discuss the changes"" - this is about anticipating/preparing, not discussing. The phrase ""die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach"" should be ""the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach"" not ""the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach"" - the model omitted the possessive ""aus","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes.",64.76,89.85,25.09,0.8847,0.9174,0.0327
0,"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she had broken up with him, it was revealed that she was pregnant.","The German ""Kurz nachdem sie ihre Beziehung aufgelöst hatte"" should be ""Shortly after she had ended her relationship"" not ""Shortly after she had broken up with him"" - ""Beziehung"" (relationship) is more formal than ""breakup","Shortly after she had ended her relationship, it was revealed that she was pregnant.",23.29,24.9,1.62,0.8698,0.8654,-0.0044
542,"Kess verführen sie Siegfried (Stefan Vinke), zerren in Hollywood-Manier eine Leiche in den Kofferraum und geben die Krawallo-Clique.","They saucily seduce Siegfried (Stefan Vinke), lug a body in the boot in Hollywood manner, and play the riotous clique.","Kess is seducing Siegfried (Stefan Vinke), tearing apart a corpse in Hollywood style and giving the Krawallo clique.","The German ""Kess verführen sie Siegfried (Stefan Vinke)"" should be ""Kess seduces Siegfried (Stefan Vinke)"" not ""Kess is seducing Siegfried","Kess seduces Siegfried (Stefan Vinke), tearing apart a corpse in Hollywood style and giving the Krawallo clique.",24.5,24.41,-0.1,0.6167,0.6259,0.0092
3062,"Es geht um eine Frist, die am 1. Oktober für Staaten ablief, um die Standards von 2015 für bodennahes Ozon einzuhalten.",At issue is an Oct. 1 deadline for states to begin meeting 2015 standards for ground-level ozone.,It is about a deadline that expired on 1 October for states to comply with the 2015 standards for ground-level ozone.,"The German ""ablief"" should be ""expired"" not ""expired"" - this is a lexical error where the model missed the past tense. The phrase ""um die Standards von 2015 für bodennahes Ozon einzuhalten"" should be ""to maintain the 2015 standards for ground-level ozone"" not ""to comply with the 2015 standards for ground-level ozone"" - the target uses ""maintain"" instead of ""comply",It is about a deadline that expired on 1 October for states to maintain the 2015 standards for ground-level ozone.,29.11,30.6,1.5,0.8364,0.835,-0.0014
3599,Bisher sind Projekte wie jenes in Portugal und auch Schottland von eher kleiner Dimension und scheinen keinerlei ernst zu nehmende ökologische Probleme zu verursachen.,Till now the plants such as the Portuguese one or some in Scotland are small and do not appear to create big problems for the ecosystem.,"So far, projects such as the one in Portugal and also in Scotland have been of a relatively small scale and do not seem to be causing any serious environmental problems.",the translation accurately captures the meaning,"So far, projects such as the one in Portugal and also in Scotland have been of a relatively small scale and do not seem to be causing any serious environmental problems.",9.02,9.02,0,0.8147,0.8147,0
4101,"Die genauen Vorgänge bei der Entstehung von Sternen aus großen Gaswolken - und damit auch der Entstehung von Planeten, die diese Sterne umkreisen - liegen immer noch im sprichwörtlichen Dunkeln.",The precise processes for the formation of stars from large gas clouds - and thus the formation of the planets that orbit these stars - lie in proverbial darkness.,The exact processes by which stars are formed from large gas clouds - and therefore also the formation of planets that orbit these stars - are still shrouded in mystery.,the translation accurately captures the meaning,The exact processes by which stars are formed from large gas clouds - and therefore also the formation of planets that orbit these stars - are still shrouded in mystery.,36.19,36.19,0,0.8875,0.8875,0
1426,"Doch schon 2004 und in Rheinnähe ist bereits ""Seven Swans"" erschienen und bricht positiv gewisse Erwartungen.","But in 2004 in the Rhine area, ""Seven Swans"" came out, bursting positive expectations.","However, as far back as 2004 and in the Rhineland, 'Seven Swans' has already appeared and is breaking certain expectations.","The German ""Rheinnähe"" should be ""on the Rhine"" not ""in the Rhineland"" - ""Rheinnähe"" means ""on the Rhine"" (geographical location) not ""in the Rhineland"" (administrative region). The phrase ""bricht positiv gewisse Erwartungen"" should be ""has already fulfilled certain expectations"" not ""is breaking certain expectations"" - ""fulfilled"" is more positive than ""breaking","However, as far back as 2004 and on the Rhine, ""Seven Swans"" has already fulfilled certain expectations.",5.36,21.79,16.44,0.715,0.6621,-0.0528
3548,"Moreno schien glücklich, einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein.",Moreno appeared fortunate to escape a red card and the concession of a spot-kick.,Moreno seemed happy to have escaped a red card and a penalty.,"The German ""einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein"" should be ""to have escaped a red card and a penalty"" not ""to have escaped a red card and a penalty"" - the model omitted ""to have",Moreno seemed happy to have escaped a red card and a penalty.,19.72,19.72,0,0.805,0.805,0
366,"Nach der Höhe der Investitionen gefragt, will sich Thomas Scherer nicht genau festlegen.","Asked about the level of investments, Thomas Scherer doesn't want to commit himself precisely.","When asked about the level of investment, Thomas Scherer does not want to commit himself.","The German ""Nach der Höhe der Investitionen gefragt"" should be ""asked about the height of the investments"" not ""when asked about the level of investment"" - the reference uses ""height"" while the model uses ""level","Asked about the height of the investments, Thomas Scherer does not want to commit himself.",36.01,36.73,0.73,0.863,0.8142,-0.0488
4853,"US-Präsident Donald Trump deutete an, dass Kanada künftig von Nafta ausgeschlossen werden könnte.",US President Donald Trump indicated that Canada could be excluded from Nafta in future.,US President Donald Trump has indicated that Canada could be excluded from Nafta in the future.,"The German ""ausgeschlossen werden könnte"" should be ""excluded"" not ""could be excluded"" - this is a lexical error where ""ausgeschlossen"" means ""excluded"" not ""could be excluded",US President Donald Trump has indicated that Canada could be excluded from Nafta in the future.,66.75,66.75,0,0.9563,0.9563,0
4616,"Einige Bewohner, einschliesslich der Blogger, die über die Gentrifizierung des East Village schreiben, haben die Idee des Verkaufs von Extra Place abgelehnt, mit dem Argument, dass dieses öffentliche Grundstück, so bescheiden wie es ist, weiterhin öffentlich bleiben soll.","Some residents, including bloggers who write about the gentrification of the East Village, have opposed the idea of selling Extra Place, arguing that the piece of public property, modest as it is, should remain public.","Some residents, including bloggers who write about the gentrification of the East Village, have rejected the sale of Extra Place, arguing that this public land, however modest, should remain public.","The German ""Einige Bewohner, einschliesslich der Blogger, die über die Gentrifizierung des East Village schreiben, haben die Idee des Verkaufs von Extra Place abgelehnt"" should be ""Some residents, including bloggers who have written about the gentrification of the East Village, have rejected the sale of Extra Place"" - the model added ""who write about the gentrification of the East Village"" which doesn't appear in the source. The phrase ""mit dem Argument, dass dieses öffentliche Grundstück, so bescheiden wie es ist, weiterhin öffentlich bleiben soll"" should be ""arguing that this public plot, as modest as it is, should remain public"" not ""arguing that this public land, however modest, should remain public","Some residents, including bloggers who have written about the gentrification of the East Village, have rejected the sale of Extra Place, arguing that this public plot, as modest as it is, should remain public.",56.01,59.04,3.03,0.8884,0.8917,0.0033
175,Erteilen Sie durch Verstecken eine wertvolle und amüsante Lektion über Sicherheit - aber versauen Sie nie jemandes Zimmer mit Zahnpasta und Shampoo.,Teach a valuable and amusing lesson about security by hiding something - but never trash someone's room with toothpaste and shampoo.,"Give a valuable and amusing lesson on safety by hiding things, but never lock someone in a room with toothpaste and shampoo.","The German ""Verstecken"" should be ""conceal"" not ""hide"" - this is a lexical error where the model chose a less specific term. The phrase ""Sicherheit"" should be ""security"" not ""safety"" - this is a semantic error where the model chose a more general term. The phrase ""Zahnpasta und Shampoo"" should be ""toothpaste and shampoo"" not ""toothpaste and shampoo"" - this is a lexical error where the model didn't add the articles. The phrase ""versauen Sie nie jemandes Zimmer"" should be ""never lock someone's room"" not ""never lock someone in a room"" - this is a lexical error where the model chose ""in"" instead of ""someone's",Conceal a valuable and amusing lesson about security - but never lock someone's room with toothpaste and shampoo.,38.79,58.82,20.03,0.8376,0.767,-0.0706
3119,"Sie leben inmitten der Großfamilie, werden geliebt, umsorgt und sind glücklich.","They live among their extended family, are loved, cared for and are happy.","They live in a large family, they are loved, they are cared for and they are happy.","The German ""Großfamilie"" should be ""big family"" not ""large family"" - this is a lexical error where the model chose a less specific term. The phrase ""umgesorgt"" should be ""cuddled"" not ""cared for"" - this is a semantic error where the model chose a less intimate verb. The word ""glücklich"" should be ""joyful"" not ""happy"" - this is a lexical error where the model chose a less intense emotion","They live in the midst of the big family, they are loved, cuddled and joyful.",19.14,12.51,-6.63,0.8791,0.7698,-0.1093
3820,"Wissenschaftler haben zuvor darauf hingedeutet, dass die langsame Umdrehung der Venus durch ihre dichte Atmosphäre erklärt werden könnte.",Scientists have previously suggested that Venus' slow rotation rate is explained by its thick atmosphere.,Scientists had previously suggested that the slow rotation of Venus could be explained by its dense atmosphere.,"The German ""zuvor darauf hingedeutet"" should be ""pointed out earlier"" not ""had previously suggested"" - this is about indicating/pointing out, not suggesting. The phrase ""die langsame Umdrehung der Venus durch ihre dichte Atmosphäre erklärt werden könnte"" should be ""The slow rotation of Venus could be explained by its dense atmosphere"" not ""that the slow rotation of Venus could be explained by its dense atmosphere"" - the model added ""that"" which isn't in the original. The word ""Umdrehung"" should be ""rotation"" not ""rotation",Scientists pointed out earlier that the slow rotation of Venus could be explained by its dense atmosphere.,17.31,12.51,-4.8,0.9175,0.9024,-0.0152
1329,"""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"", bestätigte auch er.","""This is the furthest back that it has been since records began,"" he also confirmed.",He also confirmed that this is the farthest retreat since the records began.,"The German ""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"" should be ""This is the farthest retreat since records began"" not ""He also confirmed that this is the farthest retreat since the records began"" - the model added ""He also confirmed"" which is redundant and unnecessary. The phrase ""bestätigte auch er"" should be ""he also confirmed"" not ""He also confirmed"" - the model added ""also"" which is redundant. The word ""Aufzeichnungen"" should be ""records"" not ""records began"" - this is a semantic error where the model misunderstood the meaning","""This is the farthest retreat since records began,"" he also confirmed.",7.62,55.47,47.85,0.7947,0.8082,0.0136
3089,"Wenn ich abends mit meinen Patientenniederschriften fertig bin und zu Bett gehe, dann führt mich das Buch zurück in eine Zeit, als die Politik Millionen inspirierte und einem Reden den Atem rauben konnten.","When I'm finished with my patient write-ups at night and get into bed, the book returns me to a time when politics inspired millions and speeches could take your breath away.","When I go to bed at night with my patients' notes, the book takes me back to a time when politics could inspire millions and take your breath away.","The German ""Patientenniederschriften fertig bin"" should be ""finished writing up my patients' notes"" not ""go to bed at night with my patients' notes"" - this is about completing administrative work, not going to bed. The phrase ""dann führt mich das Buch zurück in eine Zeit"" should be ""then the book takes me back to a time"" not ""the book takes me back to a time"" - the model omitted ""when"" and changed the temporal relationship. The phrase ""den Atem rauben konnten"" should be ""could steal breaths away"" not ""take your breath away"" - ""steal"" is stronger than ""take away","When I've finished writing up my patients' notes and go to bed, then the book takes me back to a time when politics could inspire millions and could steal breaths away.",30.42,17.46,-12.96,0.8217,0.8413,0.0196
801,"Nach ihrer Erfahrung setzen weiße feministische Kommentatoren das Geschlecht vor die Rasse, wenn es darum geht, Reproduktionsrecht und Einkommensungleichheiten anzusprechen.","In her experience, white feminist commenters prioritized gender above race when it came to pushing forward reproductive rights and income inequality.","In her experience, white feminist commentators tend to put race before gender when it comes to reproductive rights and income inequalities.","The German ""weiße feministische Kommentatoren"" should be ""white feminist commentators"" not ""white feminist commentators"" - this is about racial identity, not whiteness as a racial category. The phrase ""das Geschlecht vor die Rasse stellt"" should be ""put gender before race"" not ""put race before gender"" - this is about prioritization order, not reversing who comes first. The phrase ""Reproduktionsrecht und Einkommensungleichheiten"" should be ""reproductive rights and income disparities"" not ""reproductive rights and income inequalities"" - ""disparities"" is more precise than ""inequalities","According to her experience, white feminist commentators put gender before race when it comes to reproductive rights and income disparities.",35.71,32.78,-2.93,0.9083,0.8989,-0.0094
40,"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, the virtual operators normally emerge as low-cost companies, offering cheap calls and SMS, which is often accompanied by a less comprehensive range of services.","The German ""virtuellen Anbieter"" should be ""virtual operators"" not ""virtual operators"" - this is a lexical error where the model didn't capitalize properly. The phrase ""sie bieten billige Telefongespräche und SMS"" should be ""they offer cheap voice calls and SMS"" not ""offering cheap calls and SMS"" - the model omitted ""voice"" which is important in this context. The phrase ""was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird"" should be ""which is often accompanied by a less comprehensive range of services"" not ""which is often accompanied by a less comprehensive range of services"" - the model is correct here","In the world, the virtual operators normally profile themselves as low-cost companies, they offer cheap voice calls and SMS, which is often accompanied by a less comprehensive range of services.",11.3,18.36,7.06,0.8495,0.8573,0.0078
4112,"Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","We must provide the communities with an unlimited number of young girls who are inspired by Simone, Gabby and Laurie with a better and more accessible gymnastics.","The German ""Turntrainung"" should be ""gymnastics training"" not ""gymnastics"" - this is about providing training, not the sport itself. The phrase ""aun unzähligen"" should be ""a large number of"" not ""an unlimited number of"" - ""unzähligen"" is more specific than ""unlimited","We must provide the communities with a large number of young girls inspired by Simone, Gabby and Laurie with a better and more accessible gymnastics training.",43.09,32.2,-10.9,0.7975,0.8461,0.0486
2703,"Es ist auch kein Horden durch Hobbysammlern - es hat eine emotionale Bedeutung: ältere Plattenkäufer behalten ihre Gefühle eher für sich (56 % vs. 53 %) und genießen es, alleine Zeit zu verbringen (69 % vs. 66 %).","It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",There is also no horde of hobby collectors - it has an emotional meaning: older record buyers tend to keep their feelings to themselves (56% vs 53%) and enjoy spending time alone (69% vs 66%).,"The German ""Horden durch Hobbysammlern"" should be ""Hordes of hobby collectors"" not ""horde of hobby collectors"" - the model omitted the definite article. The phrase ""behalten ihre Gefühle eher für sich"" should be ""tend to keep their feelings to themselves"" not ""tend to keep their feelings to themselves"" - the model already has this correctly. The phrase ""genießen es, alleine Zeit zu verbringen"" should be ""enjoy spending time alone"" not ""enjoy spending time alone"" - the model already has this correctly",There is also no Hordes of hobby collectors - it has an emotional meaning: older record buyers tend to keep their feelings to themselves (56% vs 53%) and enjoy spending time alone (69% vs 66%).,36.67,36.67,0,0.8411,0.8199,-0.0211
4165,"Nhaijah Russell, ein sechsjähriges Mädchen, das vor kurzem vier Spritzer von nach Erdbeere duftendem Händedesinfektionsmittel in der Schule eingenommen hatte, wurde in eine Notaufnahme zur Behandlung gebracht.","Nhaijah Russell, a six-year-old girl who recently ingested as many as four squirts of strawberry-scented hand sanitizer at school, was taken to an emergency room for treatment.","Nhaijah Russell, a six-year-old girl who had recently drunk four shots of cherry-scented hand sanitiser at school, was taken to hospital for treatment.","The German ""Händedesinfektionsmittel"" should be ""hand disinfectant"" not ""cherry-scented hand sanitiser"" - this is about disinfecting hands, not cherry-flavored sanitizer. The phrase ""eingenommen hatte"" should be ""had ingested"" not ""had drunk"" - this is about ingesting, not drinking. The phrase ""in der Schule"" should be ""at school"" not ""at school"" - this is redundant. The word ""Notaufnahme"" should be ""emergency department"" not ""hospital"" - this is about urgent care, not general hospitalization","Nhaijah Russell, a six-year-old girl who had recently ingested four shots of hand disinfectant at school, was taken to the emergency department for treatment.",40.69,42.56,1.87,0.8599,0.8446,-0.0152
697,Die CD führt mehr Verbindungslinien SC Pendolino zwischen Prag und Ostrava ein und die Züge nach Sumperk/Jesenik werden im Zeitabstand von zwei Stunden fahren.,Czech Railways is introducing more Pendolino routes between Prague and Ostrava and trains to Šumperk/Jeseník will run on two-hour intervals.,The CD is introducing more SC Pendolino lines between Prague and Ostrava and the trains to Sumperk/Jesenik will run every two hours.,"The German ""führt mehr Verbindungslinien SC Pendolino zwischen Prag und Ostrava ein"" should be ""introduces more SC Pendolino connections between Prague and Ostrava"" not ""is introducing more SC Pendolino lines between Prague and Ostrava"" - the target uses ""connections"" not ""lines",The CD is introducing more SC Pendolino connections between Prague and Ostrava and the trains to Sumperk/Jesenik will run every two hours.,23.71,23.71,0,0.7629,0.7754,0.0125
4359,"Für mich stellte das die größte Attraktion Heathrows dar, genauso wie damals in 2012 in London, als wir einen großen Aufwand betrieben, um sicherzustellen, dass all unsere Nationen und Regionen von den Spielen profitierten.","For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.","For me, that was the biggest attraction of Heathrow, just as it was in 2012 in London when we put a lot of effort into making sure that all our nations and regions benefited from the Games.","The German ""Für mich stellte das die größte Attraktion Heathrows dar"" should be ""For me, Heathrow was the biggest attraction"" not ""For me, that was the biggest attraction of Heathrow","For me, Heathrow was the biggest attraction, just as it was in 2012 in London when we put a lot of effort into making sure that all our nations and regions benefited from the Games.",47.57,42.84,-4.73,0.9079,0.8967,-0.0113
3458,Rund 80 Tiere aus fünf verschiedenen Kontinenten genießen jede Streicheleinheit.,About 80 animals from five different continents enjoy every bit of attention.,Around 80 animals from five different continents enjoy every stroke.,"The German ""genießen jede Streicheleinheit"" should be ""enjoy every stroke of luck"" not ""enjoy every stroke"" - ""Streicheleinheit"" refers to good fortune/luck, not physical strokes. The phrase ""genießen jede Streicheleinheit"" should be ""enjoy every stroke of luck"" not ""enjoy every stroke",Around 80 animals from five different continents enjoy every stroke of luck.,58.27,59.15,0.87,0.7281,0.8264,0.0983
1288,"Auβerdem beinhaltet diese Version auch noch, als wenn das noch nicht genug an Ausstattung wäre, das Paket Premium, welches für zusätzliche 1.500 Euro folgendes enthält: neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader.","Additionally, with less equipment, this version comes with the Premium Pack, which, for 1,500 euros, also features: bi-xenon adaptive headlights and a BOSE sound system with CD changer, among other things.","Furthermore, this version also includes the Premium package, which costs an additional EUR 1 500 and includes, among other things, the Bixenon headlights and the Bose sound system with CD player.","The German ""Auβerdem beinhaltet diese Version auch noch"" should be ""In addition, this version also includes"" not ""Furthermore, this version also includes"" - different grammatical structure. The phrase ""das Paket Premium"" should be ""the Premium Pack"" not ""the Premium package"" - different capitalization. The phrase ""neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader"" should be ""In addition, the Premium Pack includes, among other things, the learning Bixenon headlights and the BOSE sound system with CD player"" not ""the Bixenon headlights and the Bose sound system with CD player"" - missing ""learning"" and ""among other things","In addition, this version also includes the Premium Pack, which costs an additional EUR 1 500 and includes, among other things, the learning Bixenon headlights and the BOSE sound system with CD player.",18.27,28.97,10.69,0.7948,0.7675,-0.0273
2364,"Soviel im Voraus:""Mathieu (Debuchy), Yohan (Cabaye) und Adil (Rami) werden dabei sein"", vergegenwärtigt er.","All the more so, since opposite are Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) ,"" he recalls.","Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there, he says.","The German ""Soviel im Voraus"" should be ""in advance"" not just ""Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there","""In advance: Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there,"" he said.",50.45,55.11,4.67,0.7339,0.7155,-0.0184
2289,"Das Problem ist, dass Deutschland Wagner spielen will und die anderen Länder die neunte Sinfonie Beethovens.",The problem is that Germany wants to play Wagner and the rest the hymn of joy of Beethoven.,The problem is that Germany wants to play Wagner and the other countries want to play Beethoven's Ninth Symphony.,"The German ""die neunte Sinfonie Beethovens"" should be ""Beethoven's Ninth Symphony"" not ""Beethoven's Ninth Symphony"" - the model omitted the possessive ""s",The problem is that Germany wants to play Wagner and the other countries want to play Beethoven's Ninth Symphony.,52.21,52.21,0,0.7954,0.7954,0
1940,"Adam Fitzpatrick, Neighbourhood Enforcement Manager von Cornwall Housing, sagte aus, dass es die Familie verabsäumt hätte mit den lokalen Behörden zu kooperieren.","Adam Fitzpatrick, Cornwall Housing's neighbourhood enforcement manager, said the family failed to cooperate with the local authority.","Adam Fitzpatrick, Neighbourhood Enforcement Manager at Cornwall Housing, said the family had failed to work with the local authorities.","The German ""Neighbourhood Enforcement Manager"" should be ""Neighbourhood Officer"" not ""Neighbourhood Enforcement Manager"" - this is a semantic error where the model misunderstood the job title. The phrase ""verabsäumt hätte mit den lokalen Behörden zu kooperieren"" should be ""failed to cooperate with the local authorities"" not ""failed to work with the local authorities"" - this is a lexical error where the model used ""work"" instead of ""cooperate","Adam Fitzpatrick, Neighbourhood Officer at Cornwall Housing, said the family had failed to cooperate with the local authorities.",22.48,41.35,18.88,0.9125,0.9132,0.0007
2228,"Ich bin sehr emotional, weil meine Familie auch hier ist",I'm very emotional because my family are here as well,I am very emotional because my family is also here.,"The German ""Ich bin sehr emotional"" should be ""I am very moved"" not ""I am very emotional"" - ""moved"" is more poetic/emotional than ""emotional"" in this context. The phrase ""meine Familie auch hier ist"" should be ""my family is also present"" not ""my family is also here"" - ""present"" is more formal than ""here","I am very moved, because my family is also present.",36.72,13.55,-23.17,0.9581,0.9063,-0.0518
1175,"Er muss auch ein Mitbestimmungsrecht bei Entscheidungen haben, die die Leistung des Teams beeinflussen.",He must also have a say in the decisions that impact the team's performance.,He must also have a say in decisions that affect the team's performance.,"The German ""Mitbestimmungsrecht"" should be ""right of co-determination"" not ""a say"" - this is a lexical error where the model chose a less precise term. The phrase ""bei Entscheidungen die die Leistung des Teams beeinflussen"" should be ""in decisions affecting the team's performance"" not ""that affect the team's performance"" - this is a semantic error where the model changed the grammatical structure. The word ""muss"" should be ""must"" not ""He must"" - this is a lexical error where the model added unnecessary pronoun reference",He must also have the right of co-determination in decisions affecting the team's performance.,61.42,35.63,-25.79,0.9567,0.8848,-0.0719
