source,reference,prediction,bleu,comet
"Der Tunnel, der im Zickzackmuster über eine Länge von knapp sechs Fußballfeldern verläuft, verbindet Lagerhallen in der Nähe von Tijuana, Mexiko, und San Diego, USA.","The tunnel, which zigzags the length of nearly six football pitches, links warehouses near Tijuana, Mexico and San Diego, USA.","The tunnel, which runs in a zigzag pattern for nearly six football fields, connects warehouses near Tijuana, Mexico, and San Diego, USA.",42.45,0.8896
"Bombardier hofft, dass die Flugzeugreihe der CSeries das Unternehmen in das untere Marktsegment katapultieren kann, das derzeit von Boeing und Airbus dominiert wird.",Bombardier hopes the CSeries aircraft family can catapult it into the low end of a market now dominated by Boeing and Airbus.,Bombardier is hoping that the CSeries aircraft will catapult the company into the lower-end market segment currently dominated by Boeing and Airbus.,29.82,0.8978
"Jahrelang mit dem ""savoir-être"" der Elite getrübt, ist Valentino jetzt ihr bestes Exemplar.","Dazzled for years with the ""savoir-être"" of the elite, Valentino is now its finest exponent.","For years tarnished by the ""savoir-être"" of the elite, Valentino is now its best example.",62.13,0.7545
Die Website hat heutzutage mehr als 1.500 registrierte Verkäufer und 4.000 Gutachter.,"The site currently has more than 1,500 registered sellers and 4,000 technicians.","The website now has more than 1,500 registered sellers and 4,000 assessors.",59.15,0.8997
"Auβerdem beinhaltet diese Version auch noch, als wenn das noch nicht genug an Ausstattung wäre, das Paket Premium, welches für zusätzliche 1.500 Euro folgendes enthält: neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader.","Additionally, with less equipment, this version comes with the Premium Pack, which, for 1,500 euros, also features: bi-xenon adaptive headlights and a BOSE sound system with CD changer, among other things.","In addition, this version also includes the Premium package, which, for an additional 1,500 euros, includes the following: in addition to other elements, in particular, the adaptive bi-xenon headlights and the BOSE sound system with CD player.",21.31,0.8075
"Nur als Torhüter Roman Weidenfeller wie immer als erster BVB-Spieler den Platz betrat, brandete kurzzeitiger Jubel auf.","Only when goalkeeper, Roman Weidenfeller, was the first BVB player to step onto the field, did cheers briefly erupt, as is usually the case.","Only when goalkeeper Roman Weidenfeller, as always, was the first BVB player to take to the pitch, there was a brief outburst of joy.",31.0,0.825
"Aber in einem frühmorgendlichen Tweet am Freitag sagte Mr. Trump, er sei einfach sarkastisch.","But in an early-morning Twitter post on Friday, Mr. Trump said that he was just being sarcastic.","But in a Friday morning tweet, Mr. Trump said he was just being sarcastic.",45.36,0.9352
"Fürstin Gloria von Thurn und Taxis behauptete ja, es sei unfair, die heutigen pädagogischen Maßstäbe auf die damalige Zeit anzuwenden.",Princess Gloria of Thurn and Taxis indeed asserts that it is unfair to apply today's educational standards to that earlier time.,Princess Gloria von Thurn und Taxis said it was unfair to apply today's educational standards to the past.,31.94,0.8315
"Das Unternehmen erklärt auch, laut Untersuchungen hänge das Erlebnis im Flugzeug von mehr als der Sitzbreite ab.",It also says research shows cabin experience depends on more than the width of a seat.,"The company also says that according to studies, the experience in the plane depends on more than the width of the seat.",29.46,0.8621
"In der Pause kann es vorkommen, dass ein schlaksiger Junge mit langen, dunklen Haaren es anspricht.","During breaks, it can happen that a lanky boy with long dark hair approaches her.","During the break, a chubby boy with long, dark hair may approach.",12.47,0.7727
"Sollten Vorgaben von dieser Seite kommen, dann hofft die Stadt Bräunlingen auf Zuschüsse von den Denkmalschützern.","If this authority were to impose requirements, then the town of Bräunlingen would hope to receive subsidies from the monument preservationists.",The town of Bräunlingen is hoping for subsidies from the preservationists if there are any requirements from this side.,11.72,0.8043
"""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"", sagt Degei und deutet auf ihren lebhaften, handgewebten Turban, ihr dunkles Hemd und ihren hellen Rock hin.","""We were not used to wearing these clothes,"" says Degei, indicating her vividly colored, hand-woven turban, dark shirt and a bright skirt.","""We were not used to wearing these clothes,"" says Degei, pointing to her vibrant, hand-woven turban, her dark shirt and her bright skirt.",61.81,0.9078
"Syrien hat immer beteuert, nie ein geheimes Atomprogramm betrieben oder einen Reaktor gebaut zu haben.",Syria has claimed never to have had a secret atomic programme or to have built a reactor.,Syria has always insisted that it has never operated a secret nuclear programme or built a reactor.,20.59,0.9125
"Aber der Protest hat das Bewusstsein der Hauptfunktionäre, wie Su Wie, Chinas Chefklimaunterhändler, anscheinend nicht erreicht.","But the protest did not seem to penetrate the consciousness of key officials such as Su Wei, China's chief climate negotiator.","But the protest has apparently not reached the consciousness of top officials such as Su Wei, China's chief climate negotiator.",56.97,0.9156
"""Ich denke, Letzteres wäre das Gebot der Stunde - unabhängig von möglichen weiteren Aktivitäten"", sagt Wüstenhagen.","I think, the latter would be the order of the day, irrespective of any further activities, says Wüstenhagen.","""I think that would be the order of the day - regardless of any further activities,"" says Wüstenhagen.",51.06,0.8879
"""Sie müssen die Aufgabe übernehmen, die Ihnen als Journalist zufällt - entweder das oder Sie spielen den Dummen.","""You have to assume the task that falls to you as a journalist - either that or you play dumb.","""You have to take on the task that falls to you as a journalist - either that or you play the fool.",71.41,0.926
"Sonst wird geschwiegen und in der gruselig schönen Hügellandschaft Schottlands geschwelgt, die der Wikingerwelt von vor etwa tausend Jahren die Kulisse bietet.","Otherwise, the film is silent, luxuriating in the eerily beautiful hills of Scotland that provides the scenery for the Viking world of around a thousand years ago.","Otherwise, silence reigns, and the eerily beautiful landscape of Scotland's hills, which provided the backdrop to the Viking world of some 1,000 years ago.",16.73,0.7812
"Der Neubau sollte möglichst freundlich und hell gestaltet werden, damit sich die Bewohner darin wohlfühlen können, so der Architekt.","The new building was to be designed to be as welcoming and bright as possible, so that the residents could feel comfortable in it, says the architect.","The architect wants the new building to be as friendly and bright as possible, so that the residents can feel comfortable there.",35.9,0.9094
"Die größte und profitabelste Goldmine der Welt, Grasberg, im Besitz des Freeport McMoran aus Phoenix, liegt nur 60 Meilen von Paniai entfernt, einer Hochlandprovinz in der Größe von New Jersey mit 153.000 Einwohnern.","The world's largest and most profitable gold mine, Grasberg, owned by Phoenix-based Freeport McMoran, lies just 60 miles from Paniai, a highland province around the size of New Jersey and home to 153,000 people.","The world's largest and most profitable gold mine, Grasberg, owned by Phoenix-based Freeport McMoRan, is just 60 miles from Paniai, a highland province the size of New Jersey with 153,000 residents.",66.36,0.8928
"Sie legen sie in ein Zeitfenster, in dem niemand sie jemals sehen wollte.",They put them on a slot where no one was ever going to watch them.,They put them in a time window where nobody ever wanted to see them.,13.33,0.7642
"Die Familie war der Ansicht, die Reise sei damit mangelhaft gewesen - und klagte gegen den Veranstalter.",The family took the opinion that the holiday was unsatisfactory - and took the organiser to court.,The family thought the trip was lacking - and sued the organiser.,8.06,0.8196
Die EU-Staaten haben sich bislang nicht auf ein gemeinsames Vorgehen in der Krise einigen können.,To date the EU states have not been able to agree to a common approach to the crisis.,The EU states have so far been unable to agree on a common approach to the crisis.,41.83,0.9412
"Ich werde keine Mühen scheuen, dieses mir von den Mitgliedsstaaten erteilte Mandat umzusetzen, um unsere Vision der nachhaltigen Entwicklungsziele zu verwirklichen, die auf dem Erfolg der Millenniumsziele aufbauen.“",I will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs.,I will spare no effort in implementing the mandate given to me by the Member States to achieve our vision of sustainable development objectives built on the success of the Millennium Development Goals.,45.03,0.879
"Eine weitere mögliche Anwendung dieser Technologie in der Zukunft könnte die Integration der Einheit mit einem GPS Navigationssystem durch Satellit sein, um beim Fahren bis an das Ziel zu führen und dabei die Hindernisse auf dem Weg zu vermeiden.","An additional application in a potential future could be the integration of this technology with the GPS satellite navigator to bring the driver to a specific destination, avoiding obstacles along the path.","Another possible application of this technology in the future could be the integration of the unit with a GPS navigation system by satellite to guide the driver to the destination, avoiding obstacles on the way.",27.9,0.8802
"""Es war schon immer schwierig, dieses Land zusammenzuhalten und zukünftig wird es sogar noch schwieriger werden,"" sagte Rashid Abdi, der Projektleiter des Horn von Afrika der International Crisis Group, einer Forschungsgruppe.","""It was always difficult holding this country together, and moving forward, it will be even harder,"" said Rashid Abdi, the Horn of Africa project director for the International Crisis Group, a research group.","""It has always been difficult to hold this country together and it will become even more difficult in the future,"" said Rashid Abdi, the Horn of Africa project director for the International Crisis Group, a research group.",57.74,0.9067
Die neuesten blutigen Ereignisse scheinen eine solche Hoffnung im Keim zu ersticken.,Another round of bloodshed suggests that any such hope is vain.,The latest bloody events seem to be stifling such hopes.,4.07,0.8398
"Es wird andere Reporter geben, an die Sie sich dafür wenden können.",There will be other reporters you can turn to for that.,There will be other reporters you can turn to.,73.98,0.9422
"Es müssen in den kommenden Tagen Gespräche mit Brüssel und anderen Ländern stattfinden"", sagte Ivica Dacic in Prag.","There will have to be talks in the coming days with Brussels and other countries,"" Ivica Dacic said in Prague.","There will be talks with Brussels and other countries in the coming days,"" said Ivica Dacic in Prague.",39.1,0.9213
"Die Ruinen der Festung Massada bilden die Überreste des geheimen Verstecks vor Feinden, das Herodes der Große im Jahr 25 n. Chr. für seine Familie erbauen ließ.","Ruins of the Massada Fortress remain from a secret refuge from enemies, built by Herod in 25 BC for his family.",The ruins of the fortress of Massada are the remains of the secret refuge built by Herod the Great in 25 BC for his family.,31.65,0.8545
"Die Unterstützung der PDL, der größten Partei Italiens, ist wesentlich, denn bis jetzt haben sich viele ihrer Mitglieder gegen eine mehrheitlich aus Technokraten bestehende Regierung, die Monti gerade bildet, ausgesprochen.","The support of the LDP, the largest party in Italy, is significant because until now many of its members had opposed the government majority made of technocrats that Monti is forming.","The support of the PDL, the largest party in Italy, is crucial, as many of its members have expressed their opposition to the technocratic government that Monti is forming.",45.07,0.8637
"""In einer Zeit, da uns immer mehr Aufgaben aufgebürdet werden, ohne dass mehr Personal eingestellt wird, ist der Versuch, sich an den Geldern des Personals zu bereichern, mehr als unangemessen"", so die CGT-Gewerkschaft von Bordeaux.","At a time when our goals and responsibilities are being expanded, but our staff numbers are not, it is more than regrettable to dare to attack the staff's salaries, judges the CGT-pénitentiaire de Bordeaux.","""In a time when more and more tasks are being imposed on us, without any increase in personnel, the attempt to enrich oneself at the expense of staff is more than inappropriate,"" says the CGT union in Bordeaux.",7.59,0.771
"Das würde allerdings voraussetzen, dass dann zeitnah eine Polizeistreife vorbeikommt.","However, this would require a police patrol to come out.","This would, however, presuppose that a police patrol passes by immediately.",12.57,0.8387
"Gegen 486 Personen, die unmittelbar an dem Putschversuch beteiligt gewesen sein sollen, wird in seit dieser Woche in Ankara verhandelt.","As of this week in Ankara, trials are being held against 486 people who are said to have been directly involved in the coup attempt.",486 people are being tried in Ankara for their involvement in the coup attempt.,15.48,0.8499
"Andoh erklärte, es kommt auf die instinktive, intelligente Reaktion an, und weniger auf die Verarbeitung der Daten, und noch weniger auf die Fähigkeit, diese zu speichern.","According to Andoh, what is important is the intelligent instinctive reaction, not the capability for data processing and storage.","Andoh said it comes down to an instinctive, intelligent reaction, and less about processing the data, and even less about the ability to store it.",4.11,0.8537
"Und wie ein Videospiel-Erfinder und Milliardär vor kurzem erklärte, Geld kann Glück wirklich nicht kaufen.","And as a billionaire video-game creator explained recently, money really doesn't buy greater happiness.","And as a video game inventor and billionaire recently said, money can't buy happiness.",14.63,0.8813
"Weiters betonte Járóka, dass Bildung ein grundlegendes Menschenrecht sei, dem eine Schlüsselrolle zukäme bei der Geltendmachung anderer Menschenrechte.","Járóka also emphasized that education, as a fundamental human right, plays a key role in the enforcement of other human rights.","Járóka also stressed that education is a fundamental human right, playing a key role in the exercise of other human rights.",48.82,0.9108
"Snapchat sagt, dass dieser Filter Anime-inspiriert ist, aber manche Beobachter sagen, dass es unsensibel gegenüber Rassen ist.","Snapchat says this filter is inspired by anime, but some observers say it's racially insensitive.","Snapchat says this filter is inspired by anime, but some observers say it's racially insensitive.",100.0,0.9719
Der slowenische LKW war wahrscheinlich ohne zu blinken vom Standstreifen abgebogen und hatte dem Bus die Fahrt versperrt.,A Slovenian tractor trailer truck likely left the emergency lane without signalling and blocked the path of the bus.,The Slovenian lorry probably swerved off the hard shoulder without blinking and blocked the bus's path.,9.12,0.7241
"""Die Deutsche Bank muss alle Anlagen aus ihrem Portfolio streichen, bei denen Geld für Wetten auf Nahrungsmittelpreise eingesetzt wird"", sagte Bode.","""Deutsche Bank must remove all investments from its portfolio that bet money on food prices,"" said Bode.","""The Deutsche Bank must remove all assets from its portfolio in which money is used for betting on food prices,"" said Bode.",46.22,0.8834
Suchen Sie in unserem Einkaufsführer und den Bewertungen nach Digitalkameras für herkömmliche und wasserdichte Modelle.,Check out our buying guide and Ratings for digital cameras for both conventional and waterproof models.,Look in our shopping guide and reviews for digital cameras for conventional and waterproof models.,40.03,0.8953
"Die Geschworenen hörten am Donnerstag, dass Coulson Blunkett wegen einer Affäre mit einer verheirateten Frau konfrontiert habe, als er selbst mit der Mitangeklagten Rebekah Brooks liiert war, die damals verheiratet gewesen war.","The jury heard on Thursday that Coulson confronted Mr Blunkett over an affair with a married woman while he was himself seeing co-defendant Rebekah Brooks, who was married at the time.","The jurors heard on Thursday that Coulson confronted Mr Blunkett over an affair with a married woman when he himself was having an affair with co-defendant Rebekah Brooks, who was then married.",58.55,0.83
"Dabei hatte der beim AC Florenz unter Vertrag stehende und an Besiktas nur ausgeliehene Gomez nach dem Putschversuch bekanntgegeben, wegen der politischen Situation im Land nach seinem EM-Urlaub nicht zurückzukehren.","Gomez, under contract at AC Florenz and only on loan to Besktas, announced after the attempted coup that he would not return to the country after his European Championship holiday due to the political situation.","After the coup attempt, Gomez, who was on loan to Besiktas from AC Florence, announced that he would not return to the country after the European Championship due to the political situation in the country.",38.37,0.8499
Die Gewinne aus seinen Umsätzen flossen dennoch in seine Stiftung für Kinder in Not.,Profits from these sales were nevertheless paid to his Foundation for children in difficulty.,His profits still went to his foundation for children in need.,12.92,0.8584
Deutschland ganz in Weiß: Über Nacht ist fast im ganzen Land Schnee gefallen.,Germany all in white. There has been overnight snowfall across most of the country.,"Germany in white: Overnight, snow fell almost everywhere in the country.",12.06,0.8889
"Die Besitzer des Altenheims in Olot schließen nicht aus, dass ihr Pfleger über elf ältere Menschen tötete",The owners of the center of Olot do not discard that their attendant killed more than 11 elderly people,The owners of the nursing home in Olot do not rule out that their caregiver killed eleven elderly people,22.81,0.8346
"""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"", bestätigte auch er.","""This is the furthest back that it has been since records began,"" he also confirmed.","""This is the biggest retreat since records began,"" he confirmed.",40.1,0.7216
"Werden die internen Meinungsumfragen, wie der Fragebogen, den Orange seinen Lohnempfängern unterbreitet hat, diese Revolution in Bezug auf die Management-Praxis anregen?",Will internal opinion surveys - such as those given by Orange to its employees - stimulate this revolution in managerial methods?,"Will the internal opinion polls, such as the questionnaire Orange put to its recipients of bonuses, trigger this revolution in management practice?",9.97,0.8426
"Der Enforcement Trailer ist autark: Sein Akku hält bei ununterbrochenem Messbetrieb fünf Tage, die Falldaten werden verschlüsselt über ein Modem übertragen.","The enforcement trailer is autonomous: its battery lasts for five days of continuous measurement, and data is transferred in encrypted form via a modem.","The Enforcement Trailer is self-sufficient: its battery lasts five days in continuous operation, and the fall data is encrypted and transmitted via a modem.",23.87,0.8549
"In diesem Fall tötete er mit einer Überdosis Insulin, im Unterschied zum ersten Verbrechen, bei dem er eine Mischung aus verschiedenen Beruhigungsmitteln verabreicht hatte.",In this case an overdose of insulin brought her the death; unlike the first crime he committed with a mixture of sedative tablets.,"In this case, he killed with an overdose of insulin, unlike the first crime, when he administered a mixture of sedatives.",28.63,0.8069
"Die Zeitung wertete den Schritt als Zeichen, dass Mueller seine Ermittlungen ausgeweitet und intensiviert habe.",The newspaper judged the step to be a sign that Mueller has broadened and intensified his investigations.,The newspaper saw the move as a sign that Mr Mueller was expanding and intensifying his investigations.,16.54,0.9251
"Aus Bad Homburg zieht die Tochtergesellschaft Fujitsu Technology Solutions in Frankfurt-Niederrad ein, die weiteren Tochtergesellschaften an diesem Standort sollen Fujitsu Services und ein Unternehmen namens TDS sein.","The Fujitsu subsidiary, Technology Solutions, is also moving from Bad Homburg to Frankfurt; two further subsidiaries, Fujitsu Services and a company named TDS, will also be based in Frankfurt.","From Bad Homburg, Fujitsu Technology Solutions is moving to Frankfurt-Niederrad, with Fujitsu Services and a company called TDS to follow.",14.29,0.7685
"Schließlich, wird alles miteinander verbunden, es ist so, viel Respekt vor den Kostümdesigner und ihrer Professionalität.","So, everything goes together, yes, with a lot of respect for designers and professionals.","Finally, everything is connected, it is so, much respect for the costume designer and their professionalism.",6.44,0.7634
"""Beispielsweise das Alter, oder was man teilen oder veröffentlichen darf"" erklärt er.","""For example, the age at which you are allowed to share or publish"" he says.","""For example, the age, or what you can share or publish"" he explains.",45.97,0.8618
"Trotzdem fällt im Gegensatz zu zahlreichen anderen Beschuldigten auf, dass viele Opfer die allgemeine Menschlichkeit von R. schätzten und deshalb in zahlreichen Fällen trotz Gewalt sogar positive Erinnerungen mit ihm verbinden"".","Despite this, it is apparent that, in contrast to numerous others of the accused, many victims treasured the general humaneness of R. and therefore, in numerous cases, even associate him with positive memories, despite the violence.""","Despite this, unlike many other accused, it is noted that many victims appreciated R.'s general humanity and therefore, in many cases, despite the violence, they associate positive memories with him.""",19.93,0.8684
"Für ihr Programm ""Cosmic Vision"" suchen sie Ideen für zwei große Raumfahrtprojekte, die die Forschung entscheidend voranbringen sollen.","For their ""Cosmic Vision"" programme, they are looking for ideas for two major space projects, which should greatly advance research.","For its ""Cosmic Vision"" programme, it is seeking ideas for two major space projects that will significantly advance research.",43.08,0.9243
"Der VGH in Kassel hatte am dieser Tage schriftlich begründet, dass das Land im Falle des Baus der geplanten Nordwest-Landebahn im Frankfurter Flughafen das Nachtflugverbot neu regeln müsse.",The VGH in Kassel recently confirmed in writing that the state would have to reorganise the ban on night flights in the event of building the planned northwest runway at Frankfurt Airport.,"The VGH in Kassel had written today that in the case of the construction of the planned northwest runway at Frankfurt airport, the ban on night flights would have to be re-regulated.",37.32,0.8467
Er muss zudem die Polizei 7 Tage vor seiner geplanten Abreise benachrichtigen.,He is also required to give police seven days notice of his planned departure date.,He must also notify the police 7 days before his planned departure.,11.67,0.897
"Der zweite amerikanische Behördenvertreter sagte, dass Somali schnell in der Al-Kaida-Hierarchie aufgestiegen sei und beste Verbindungen zu anderen Extremistengruppen in der Region pflegte.",The second U.S. official said Somali had risen quickly through al-Qaeda's ranks and was well-connected with other extremist groups in the region.,The second American official said that Somali had quickly risen through the ranks of al-Qaeda and maintained close ties with other extremist groups in the region.,34.11,0.9173
"Er wurde nicht nur vom Publikum mit viel Applaus empfangen, auch seine Schwester Philippine hieß ihn willkommen.","Not only was he received with great applause from the audience, but was also welcomed by his sister Philippine.","He was not only greeted with much applause by the audience, his sister Philippine also welcomed him.",14.91,0.8929
"Das Russische Verteidigungsministerium hat erst gestern eingeräumt, dass unweit der norwegischen Grenze eine interkontinentale ballistische Rakete getestet wurde.",Yesterday the Russian defence ministry finally admitted that it had tested an intercontinental ballistic missile not far from the Norwegian border.,It was only yesterday that the Russian Ministry of Defence admitted that an intercontinental ballistic missile had been tested near the Norwegian border.,24.35,0.8871
Bordinis Beschwerde verlangt Schadensersatz von der Kampagne für die Verletzung der Sorgfaltspflicht und von Philip wegen Körperverletzung und bleibender seelischer Schäden.,"Bordini's complaint seeks compensation from the campaign for negligent supervision, and from Phillip for assault, battery and infliction of emotional distress.",Bordin's complaint seeks damages from the campaign for negligence and from Philip for battery and permanent emotional distress.,18.84,0.8602
"Seth Donlin, Sprecher der Abteilung für Gebäudeschutz meinte, es sei tatsächlich der Wunsch der Stadt gewesen, die Straße zu verkaufen und betonte, die Aufgabe der Abteilung sei es eher die Immobilien zu entwickeln als zu verwalten.","Seth Donlin, a spokesman for Housing Preservation, said it was indeed the city's desire to sell the street and noted that the agency's mission was to develop property rather than manage it.","Seth Donlin, spokesman for the Department of Buildings, said it was actually the city's desire to sell the street and stressed that the department's job is more to develop properties than to manage them.",33.28,0.8461
"Wir haben es hier mit einer Regierung zu tun, die als einzige aus all den betroffenen Ländern ihren im Konzentrationslager Guantanamo gefangenen Landsmann nicht nach Hause geholt hat.","Here, we have before us a government that is the only one among all western countries involved, not to have repatriated its nationals locked in the concentration camp at Guantanamo.",We are dealing here with a government that is the only one of all the countries concerned not to have brought home its fellow countryman from Guantanamo.,24.22,0.8133
"Dieses Gremium empfiehlt der Regierung, das Strafgesetz derart abzuändern, um begleiteten Suizid und Euthanasie zu erlauben, wo sich diese Wahl stellt, und zwar bei Patienten, die als in der Lage angesehen werden, eine solche Entscheidung zu treffen.","This committee recommends to the government to modify the criminal code, so as to permit assisted suicide and euthanasia when it is elected by a patient deemed competent to make such a decision.",This committee recommends that the government amend the criminal code so as to allow assisted suicide and euthanasia where these options are chosen by patients considered capable of making such a decision.,23.22,0.875
"Schreie zerrissen die Stille, als ein junger schwarzer Mann vom Beifahrersitz gezerrt wurde.",Screams ripped through the silence as a young black man was dragged from the front passenger seat.,Screams tore through the silence as a young black man was dragged from the passenger seat.,73.06,0.93
"Verbot, dass politische Aktivisten vollständige Briefwahlen und Umschläge von Briefwahlen bearbeiten.",Ban political campaigners and activists from handling completed postal votes and postal vote envelopes.,Ban on political activists processing full ballots and ballot envelopes.,6.86,0.728
"Er stand einfach auf, und umarmte mich und sagte, ""meine Liebe, ich glaube nicht, dass du das hast, sonst wärst du jetzt schon im Rollstuhl.""","He just stood up and hugged me and said 'my dear I don't think you have it, as you would be in a wheelchair now.'","He just got up and hugged me and said, ""my love, I don't think you have it, otherwise you'd be in a wheelchair by now.""",44.48,0.8595
Vor wenigen Wochen habe er als echter Praktiker das Erfolgskonzept der Veitensteingruppe zur Nitratsenkung vor dem Wasserforum des Bezirks Unterfranken präsentieren dürfen.,A few weeks ago he gave a presentation at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.,"A few weeks ago, he was able to present the success concept of the Veitensteingruppe for reducing nitrates in front of the water forum of the district of Unterfranken.",10.83,0.798
"Jeder kann sie essen, sie sind also genau das Gegenteil von exklusiv.","Anyone can eat them, they are the exact opposite of exclusive.","Anyone can eat them, so they are the exact opposite of exclusive.",78.25,0.939
"Die italienische Version steht auf folgendem link zum download zur Verfügung: http://it.openoffice.org/download/3.0.0/download300.html. Somit folgt sie der englischen Version, die sich seit Freitag auf den mirrors befindet.",The Italian version is available for download at the address http://it.openoffice.org/download/3.0.0/download300.html and is added to the English version which has been available on mirror sites since Friday.,"The Italian version is available for download at the following link: http://it.openoffice.org/download/3.0.0/download300.html, following the English version, which has been on the mirrors since Friday.",63.81,0.844
"Tausende von Fans kamen zu dem Eröffnungsevent zwei Jahre später, und jeden Januar kehren viele für die Feier zurück.","Thousands of fans came to the inaugural event two years later, and each January, many return for the celebration.","Thousands of fans came to the opening event two years later, and many return for the celebration every January.",60.58,0.9423
Hier werden die Informationen zur Gültigkeit seiner Dokumente auf dem Display des Gerätes angezeigt.,Here the information on the validity of their documents will appear on the machine's screen.,"Here, information about the validity of his documents is displayed on the device.",13.33,0.8748
"von Rom verkündet der Minister, dass sich ""innerhalb von drei Monaten die Abwesenheiten der Beamten auf 50 % reduziert haben, das heißt 60.000 Personen pro Jahr mehr bei der Arbeit anwesend sind"".","of Rome, the minister, afterwards, makes known that ""in three months the absences, by public employees, due to sickness have reduced by 50%, that is 60 thousand more people at work in a year"".","From Rome, the minister announces that ""within three months, absenteeism has been reduced by 50%, which means 60,000 more people at work every year.""",20.44,0.7958
"Dennoch ist Trumps stärkste Konkurrenz im Moment der andere Außenseiter, der Neurochirurg Ben Carson, aber Wähler, die sagen, dass sie sich ihre Meinung gebildet haben, sind doppelt so häufig für Trump.","Still, Trump's strongest competition at the moment is from fellow outsider neurosurgeon Ben Carson, but voters who say they have made up their minds are twice as likely to go for Trump.","Still, Trump's strongest competition at the moment is another outsider, neurosurgeon Ben Carson, but voters who say they've made up their minds are twice as likely to back Trump.",65.94,0.9128
Dr. Frank Müller übernimmt Praxis Felstehausen und investiert 310000 Euro,"Dr Frank Müller takes over Felstehausen practice and invests €310,000","Dr. Frank Müller takes over practice Felstehausen and invests 310,000 euros",27.9,0.9441
Dadurch sind die Hiesigen eine Sorge los - nämlich die Vertreibung der Kreuzfahrer.,"The locals thus do not have to worry about expelling of the ""crusaders.""","As a result, the locals have one less thing to worry about - the expulsion of the Crusaders.",10.08,0.7994
"Die Polizei kümmerte sich darum und sah die fünf Bilder, analysierte dann Computer, die unter der Adresse gefunden wurden und entdeckte ""betreffende"" Web-Recherchen, die Begriffe für die Suche nach unanständigen Bildern von Kindern benutzte.","Police attended and saw the five pictures, then analysed computers found at the address and discovered ""concerning"" web searches using terms for finding indecent image of children.","Police took an interest and looked at the five images, analysed computers found at the address and discovered ""relevant"" web searches using terms to find indecent images of children.",41.93,0.8498
"„Wir haben hier zwei erwachsene Männer (Guebuza und Dhlakama), die die Köpfe zusammenstoßen“, meint Joseph Hanlon, Dozent an der Open University und Mosambik-Experte.","""It's two big men (Guebuza and Dhlakama) butting heads together,"" said Joseph Hanlon, a lecturer at the Open University and Mozambique expert.","""We have two grown men (Guebuza and Dhlakama) banging heads,"" says Joseph Hanlon, a lecturer at the Open University and Mozambique expert.",62.0,0.795
"""Einer meiner Mitarbeiter hat irrtümlicherweise Schlamm auf das Bein aufgetragen.",One of my staff mistakenly laced mud on its leg.,"""One of my employees mistakenly put mud on my leg.",19.16,0.8623
Der Konzern Fujitsu verlagert seine Niederlassung in Bad Homburg nach Frankfurt.,The Fujitsu corporation is relocating its Bad Homburg office to Frankfurt.,Fujitsu is moving its branch in Bad Homburg to Frankfurt.,18.01,0.8956
Auf seiner Webseite zeigen Fotos Surfer in Australien und Snowboarder in Kanada.,There are photos of surfers in Australia and snowboarders in Canada on his website.,His website features photos of surfers in Australia and snowboarders in Canada.,58.41,0.9391
"Im Jahr 2006 fuhr Cousins sein Auto in den Graben, um einer Alkohol-Kontrolle zu entgehen und versuchte dann, über den Swan River zu schwimmen.","In 2006, Cousins ditched his car to avoid a booze bus and attempted to swim across the Swan River.","In 2006, Cousins drove his car into a ditch to avoid a breath test and then tried to swim across the Swan River.",40.49,0.7992
Die Privatbank Sal. Oppenheim hat die 23 Millionen neuen Aktien gezeichnet.,Private bank Sal. Oppenheim applied for the 23 million new shares.,The private bank Sal. Oppenheim drew up the 23 million new shares.,53.17,0.8612
Dieser Versuch bringt uns einen Schritt näher zum Verständnis der Vorteile von PrEP.,This trial will take us one step closer to fully understanding the benefits of PrEP.,This attempt brings us a step closer to understanding the benefits of PrEP.,40.59,0.934
"Letztere versprachen, ihn `mit einem konstruktiven Geist' zu empfangen, und hoffen, dass er mit `konkreten Vorschlägen' kommt.","The latter have promised to accept ""with a constructive spirit"" and they hope he ""will arrive with practical proposals"".","The latter promised to receive him ""with a constructive spirit"" and hope that he will come with ""concrete proposals.""",33.04,0.8776
Nach Angaben der ungarischen Behörden bleiben die beiden Grenzübergänge Horgos und Backi Breg weiterhin komplett gesperrt.,The Hungarian authorities claim that both the Horgos and the Backi Breg border crossings also remain completely closed.,"According to Hungarian authorities, the two border crossings of Horgos and Backi Breg remain completely closed.",21.11,0.8963
"99% der Aktien ist in den Händen des polnischen Staates, der allerdings mehr als 60% der Papiere in den kommenden Monaten veräußern will.","99 percent of the stakes are in the ownership of the Polish government, which plans to sell 60 percent of the papers during the next few months.","99% of the shares are in the hands of the Polish state, which plans to sell more than 60% of the shares in the coming months.",24.05,0.8598
