original_row_index,source,reference,prediction,bleu,comet
1295,"""Wir waren nicht daran gewöhnt, diese Kleidung zu tragen"", sagt Degei und deutet auf ihren lebhaften, handgewebten Turban, ihr dunkles Hemd und ihren hellen Rock hin.","""We were not used to wearing these clothes,"" says Degei, indicating her vividly colored, hand-woven turban, dark shirt and a bright skirt.","""We're not used to wearing this kind of clothing,"" Degei says, pointing to her brightly woven turban, her dark shirt and her white dress.",15.26,0.8997
4097,Neben Trump Jr. waren auch Trumps Berater und Schwiegersohn Jared Kushner sowie sein damaliger Wahlkampfchef Paul Manafort bei dem Gespräch dabei.,"In addition to Trump Jr., Trump's adviser and son-in-law Jared Kushner and his former campaign manager Paul Manafort were also present at the meeting.","Besides Trump Jr., Trump's advisor and son-in-law, Jared Kushner, and his former campaign chairman, Paul Manafort, were also present for the conversation.",29.51,0.9024
4604,"Das Ministerium ließ sich von ähnlichen Kampagnen in den angelsächsischen Ländern inspirieren, wo man ganz normal Bilder mit drastischen Aufnahmen von Unfallopfern sehen kann.","The ministry found inspiration in similar campaigns in Anglo-Saxon countries, where it is common to find pictures with drastic images of accident victims.","The ministry was inspired by similar campaigns in Anglo-Saxon countries, where it is quite normal to see images of the victims of accidents.",38.57,0.8419
384,Nach Ansicht des Managements ist das USD 700 Mrd. teure amerikanische Rettungspaket und die dadurch ausgelöste Unsicherheit auf den Märkten schuld an der Talfahrt der Fortis-Aktien.,The management blames the uncertainties overseas - which are linked to accepting the American package of USD 700 billion - for the fall of Fortis shares.,"In the opinion of the management, the USD 700 billion American bailout package and the market uncertainty it has caused are to blame for the decline in Fortis shares.",10.15,0.8408
75,"Denn häufig lösen sich soziale und familiäre Strukturen im Alter auf, ein Chor ist dann eine ideale Gelegenheit, um Zeit mit anderen Menschen zu verbringen.",Social and familial structures often weaken as people grow older - so choir is a perfect way to spend time with other people.,"Because as we age, social and family structures often dissolve, a choir is an ideal opportunity to spend time with other people.",29.31,0.8916
1975,"Wir sprachen mit Rhon Mizrachi, einem Großmeister des Krav Maga Verbandes in New York, um herauszufinden, wie man mit bewaffneten Räubern auf nahe Entfernung umgeht.","We spoke to Rhon Mizrachi, New York-based grandmaster of the Krav Maga Federation, to find out how to deal with gun-toting muggers at close range.","We spoke with Rhon Mizrachi, a grandmaster of the Krav Maga Association in New York, to find out how to deal with armed robbers at close range.",48.88,0.8731
1735,"Was die Forscher dabei allerdings schon seit Jahren verwundert: Die Flugkörper verhalten sich nicht 100-prozentig so, wie man es nach dem altehrwürdigen Gravitationsgesetz erwarten würde.",But what researches have been wondering about for years is this: The objects in flight are not behaving precisely in the way we have come to expect according to the venerable law of gravitation.,"What has been puzzling researchers for years, however, is that the flying objects do not behave 100 percent as would be expected according to Newton's law of gravitation.",9.75,0.8675
2808,"Porras nennt anschließend einige Möglichkeiten: Es gibt Dinge, die du einem Fremden nicht erzählen würdest. Warum machst du es dann im Internet?","Porras then lists some options: There are things you wouldn't tell a stranger, so why do it online?","Porras then lists some possibilities: there are things you wouldn't tell a stranger, so why tell them on the Internet?",51.85,0.8946
1115,Ein mit zwei Messern bewaffneter Wahnsinniger hat am Freitag gegen Spätnachmittag zur Hauptgeschäftszeit in der Innenstadt von Clichy-la-Garenne (Hauts-de-Seine) einen Achtzigjährigen getötet und fünf weitere Personen verletzt.,"A crazed man armed with two knives has killed a man in his eighties and wounded five other people in the city centre of Clichy-la-Garenne (Hauts-de-Seine), during rush hour, towards the end of Thursday.","Armed with two knives, a madman killed an eighty-year-old man and injured five other people in the centre of Clichy-la-Garenne (Hauts-de-France) on Friday at the height of the shopping period.",20.3,0.852
599,"Das funktioniert wie mit den meisten Wiesn-Besuchern: Leer hin, voll wieder zurück.","It works like with most Wiesn visitors: When it's empty, they head out, and when it's full, they come back.","It works like with most visitors to the fair: empty in, full out again.",16.64,0.6814
4537,"Also so eine Tasche, die man an der Taille zuknöpft und in der man sämtliche notwendigen Proprietäten bei sich trägt.",That is the bag you fasten around your waist to carry all the props you need.,So it's a kind of bag that you wear on your waist and carry all the necessary properties with you.,9.85,0.7456
3887,"Das Verteidigungsministerium hatte damals zum Einkauf kein Ausschreibungsverfahren ausgeschrieben, sondern sprach EADS direkt an.",Ministry of Defence did not organize any tender for the purchase and addressed EADS directly.,"At the time, the Ministry of Defence did not launch a tender procedure, but approached EADS directly.",25.35,0.8711
2477,Die Entführer aus dem Sudan hatten mehrere Millionen Euro Lösegeld gefordert.,The abductors from Sudan had demanded a ransom of several million Euros.,The kidnappers from Sudan had demanded several million euros in ransom.,25.67,0.9247
3813,"Der Vorfall ereignete sich, als die Beamten der Verkehrspolizei der Region Álava die Verkehrskontrolle auf der N-1 bereits abgeschlossen hatten und vorbei durch das Stadtgebiet von Armiñon fuhren.","This occurred when some officials of the Alava Highway Police were conducting an audit of transports along the N-1, at the point which it crosses the district town of Armiñón.",The incident occurred when the traffic police of the Álava region had finished the traffic control on the N-1 and were passing through the city of Armiñon.,4.67,0.8011
3673,"Alcoa sagte, dass die Entscheidung, die Verträge auszubuchen, die""Fähigkeit Alcoas... die Schmelzerei zu betreiben oder die Stromversorgung an die Schmelzerei zu gewährleisten"" nicht beeinträchtige.","Alcoa said the decision to close out the contracts ""does not affect Alcoa's ... ability to operate the smelter or secure electricity supply to the smelter.""","Alcoa said the decision to void the contracts does not affect ""Alcoa's ability to operate the smelter or its ability to provide power to the smelter.""",44.07,0.9097
1091,Das Larsen-C-Schelfeis liegt südlich von Südamerika fast an der Spitze der antarktischen Halbinsel.,"The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic Peninsula.","The Larsen C ice shelf is located south of South America, almost at the tip of the Antarctic peninsula.",90.87,0.932
