original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
4377,"Dormans ""Mondolinenkonzert"" erhielt eine Nominierung in der Kategorie Instrumentalsolo mit Orchester.","Dorman's ""Mandolin Concerto"" was nominated for instrumental soloist performance with orchestra.",Dorman's 'Mondolinenkonzert' received a nomination in the Instrumentalsolo with Orchestra category.,"The German ""Mondolinenkonzert"" should be ""Mondolinkonzert"" (correct spelling) not ""Mondolinenkonzert"" - this is a typographical error. The phrase ""Nominierung in der Kategorie Instrumentalsolo mit Orchester"" should be ""Nomination in the Instrumental Solo with Orchestra category"" not ""Nomination in the Instrumentalsolo with Orchestra category"" - the model changed ""Instrumental Solo"" to ""Instrumentalsolo"" and ""with Orchestra"" to ""with Orchestra category","Dorman's ""Mondolinkonzert"" received a nomination in the Instrumental Solo with Orchestra category.",3.77,6.61,2.84,0.8136,0.8278,0.0142
1441,"In seiner Predigt erinnert Pfarrer Adolf Buhl daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei.","In his homily, Father Adolf Buhl reminds us that the cross is a sign of hope, comfort and life.","In his sermon, Pastor Adolf Buhl reminds us that the cross is a sign of hope, consolation and life.","The German ""In seiner Predigt erinnert Pfarrer Adolf Buhl daran, dass das Kreuz ein Zeichen der Hoffnung, des Trostes und des Lebens sei"" should be ""In his sermon, Pastor Adolf Buhl reminds us that the cross is a sign of hope, consolation and life"" not ""In his sermon, Pastor Adolf Buhl reminds us that the cross is a sign of hope, consolation and life","In his sermon, Pastor Adolf Buhl reminds us that the cross is a sign of hope, consolation and life.",66.44,66.44,0,0.9042,0.9042,0
1573,"Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind.","On a tour of the premises, the children will have to work out which stories are true and which have been made up.","On a treasure hunt, the children have to guess which stories are true or false.","The German ""Auf einem Geländerundgang müssen die Kinder erraten, welche Geschichten der Wahrheit entsprechen oder doch gelogen sind"" should be ""On a treasure hunt, the children must guess which stories are true or false"" not ""On a treasure hunt, the children have to guess which stories are true or false"" - the model changed ""müssen"" (must) to ""have to"" which is less emphatic. The phrase ""welche Geschichten der Wahrheit entsprechen oder doch gelogen sind"" should be ""which stories are true or false"" not ""which stories are true or false","On a treasure hunt, the children must guess which stories are true or false.",16.1,14.44,-1.66,0.771,0.7649,-0.0061
3906,"Ich erinnere mich, dass Georgij an diesem Tag so gerne zur Schule gehen wollte. Er sagte, er wolle seinen Lehrer umarmen.","I remember Georgy so much wanted to go to school on that day, he said he wanted to hug his teacher.",I remember that Georgij wanted to go to school that day. He said he wanted to hug his teacher.,"The German ""erinnere mich"" should be ""I remember"" not ""I remember that"" - this is a grammatical error where the model repeated ""that"" unnecessarily. The phrase ""an diesem Tag so gerne zur Schule gehen wollte"" should be ""wanted to go to school that day"" not ""wanted to go to school that day"" - the model repeated ""that day"" unnecessarily. The phrase ""er sagte, er wolle seinen Lehrer umarmen"" should be ""he said he wanted to hug his teacher"" not ""he said he wanted to hug his teacher"" - the model omitted the possessive ""his""",I remember that Georgij wanted to go to school that day. He said he wanted to hug his teacher.,50.73,50.73,0,0.9071,0.9071,0
1628,"Der Hotelangestellte sagte, dass die Maßnahme eine ""absichtliche Entscheidung des Managements der Kempinski Hotels sei.""","The hotel's clerk said that the measure was ""a deliberate decision by the management of Kempinski-Hotels.""",The hotel employee said that the measure was 'an intentional decision by the management of the Kempinski Hotels'.,"The German ""Maßnahme"" should be ""measures"" not ""measure"" - this is plural. The phrase ""absichtliche Entscheidung des Managements der Kempinski Hotels sei"" should be ""was an intentional decision by the management of the Kempinski Hotels"" not ""was an intentional decision by the management of the Kempinski Hotels"" - the model lost the plural ""measures","The hotel employee said that the measures were ""an intentional decision by the management of the Kempinski Hotels.""",39.67,26.15,-13.52,0.9086,0.9174,0.0088
4475,Darüber hinaus wiederholt Ferrells Geschichte die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung.,"Moreover, Ferrell's story reiterates and re-centers the role of black queer women in the broader Black Lives Matter movement.","In addition, Ferrell's story repeats the role of black lesbian women in the broader Black Lives Matter movement.","The German ""Ferrells Geschichte"" should be ""Ferrell's story"" not ""Ferrell's story repeats"" - this is about Ferrell's story, not repeating it. The phrase ""die Rolle der schwarzen schwulen Frauen in der breiteren Black-Lives-Matter-Bewegung"" should be ""the role of black lesbian women in the broader Black Lives Matter movement"" not ""the role of black lesbian women in the broader Black Lives Matter movement","In addition, Ferrell's story tells the role of black lesbian women in the broader Black Lives Matter movement.",56.58,56.58,0,0.877,0.8839,0.0069
4098,"In einer gemeinsamen Sitzung bereiteten sich am Samstag die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach auf die Veränderungen vor.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared for the changes.","In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes.","The German ""bereiteten sich am Samstag die Gremien aus Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach und Welschensteinach auf die Veränderungen vor"" should be ""The committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes"" not ""In a joint meeting on Saturday, the committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes","The committees from Haslach, Hofstetten, Mühlenbach, Fischerbach, Steinach and Welschensteinach prepared themselves for the changes in a joint meeting on Saturday.",89.85,70.95,-18.91,0.9174,0.9022,-0.0152
0,"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she had broken up with him, it was revealed that she was pregnant.","The German ""Kurz nachdem sie ihre Beziehung aufgelöst hatte"" should be ""Shortly after she broke up with him"" not ""Shortly after she had broken up with him"" - this is about the timing of the breakup, not the fact that she had already broken up. The phrase ""sie schwanger war"" should be ""she was pregnant"" not ""she was pregnant"" - the model repeated ""she was pregnant"" twice when it should be ""she was pregnant","Shortly after she broke up with him, it was revealed that she was pregnant.",23.29,24.9,1.62,0.8698,0.8706,0.0008
542,"Kess verführen sie Siegfried (Stefan Vinke), zerren in Hollywood-Manier eine Leiche in den Kofferraum und geben die Krawallo-Clique.","They saucily seduce Siegfried (Stefan Vinke), lug a body in the boot in Hollywood manner, and play the riotous clique.","They seduce Siegfried (Stefan Vinke), drag a corpse into the boot in Hollywood style and give the Krawallo clique.","The German ""Kess verführen sie Siegfried"" should be ""They seduce Siegfried"" not ""They seduce Siegfried (Stefan Vinke)"" - the model added the actor's name where it's unnecessary. The phrase ""zerren in Hollywood-Manier eine Leiche in den Kofferraum"" should be ""drag a corpse into the trunk in Hollywood style"" not ""drag a corpse into the boot in Hollywood style"" - the model changed ""Kofferraum"" (trunk) to ""boot","They seduce Siegfried (Stefan Vinke), drag a corpse into the trunk in Hollywood style and give the Krawallo clique.",37.5,30.37,-7.13,0.6749,0.6527,-0.0222
3062,"Es geht um eine Frist, die am 1. Oktober für Staaten ablief, um die Standards von 2015 für bodennahes Ozon einzuhalten.",At issue is an Oct. 1 deadline for states to begin meeting 2015 standards for ground-level ozone.,It is about a deadline that expired on 1 October for states to comply with the 2015 standards for ground-level ozone.,the translation accurately captures the meaning,It is about a deadline that expired on 1 October for states to comply with the 2015 standards for ground-level ozone.,29.11,29.11,0,0.8364,0.8364,0
3599,Bisher sind Projekte wie jenes in Portugal und auch Schottland von eher kleiner Dimension und scheinen keinerlei ernst zu nehmende ökologische Probleme zu verursachen.,Till now the plants such as the Portuguese one or some in Scotland are small and do not appear to create big problems for the ecosystem.,"So far, projects such as the one in Portugal and also in Scotland have been of a smaller scale and seem to have caused no serious environmental problems.",the translation accurately captures the meaning,"So far, projects such as the one in Portugal and also in Scotland have been of a smaller scale and seem to have caused no serious environmental problems.",6.91,6.91,0,0.803,0.803,0
4101,"Die genauen Vorgänge bei der Entstehung von Sternen aus großen Gaswolken - und damit auch der Entstehung von Planeten, die diese Sterne umkreisen - liegen immer noch im sprichwörtlichen Dunkeln.",The precise processes for the formation of stars from large gas clouds - and thus the formation of the planets that orbit these stars - lie in proverbial darkness.,The precise processes involved in the formation of stars from large gas clouds - and thus also the formation of planets that orbit these stars - remain in the dark.,the translation accurately captures the meaning,The precise processes involved in the formation of stars from large gas clouds - and thus also the formation of planets that orbit these stars - remain in the dark.,57.32,57.32,0,0.9094,0.9094,0
1426,"Doch schon 2004 und in Rheinnähe ist bereits ""Seven Swans"" erschienen und bricht positiv gewisse Erwartungen.","But in 2004 in the Rhine area, ""Seven Swans"" came out, bursting positive expectations.","But already in 2004 and near the Rhine, 'Seven Swans' has appeared and is breaking some positive expectations.","The German ""Rheinnähe"" should be ""on the Rhine"" not ""near the Rhine"" - this is about proximity to the Rhine, not geographic proximity. The phrase ""Seven Swans"" should be ""Seven Swans"" not ""Seven Swans"" - this is about the title of the opera, not the number of swans. The phrase ""bricht positiv gewisse Erwartungen"" should be ""fulfils some positive expectations"" not ""is breaking some positive expectations"" - this is about fulfilling expectations, not breaking them. The model changed the location from ""on the Rhine"" to ""near the Rhine"" and changed the title from ""Seven Swans"" to ""Seven Swans","But already in 2004 and on the Rhine, ""Seven Swans"" has appeared and fulfils some positive expectations.",11.15,27.59,16.43,0.7691,0.7643,-0.0048
3548,"Moreno schien glücklich, einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein.",Moreno appeared fortunate to escape a red card and the concession of a spot-kick.,Moreno seemed happy to have escaped a red card and a penalty shoot-out.,"The German ""Moreno schien glücklich, einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein"" should be ""Moreno was happy to have escaped a red card and a penalty shoot-out"" not ""Moreno seemed happy to have escaped a red card and a penalty shoot-out"" - the model changed ""schien glücklich"" to ""seemed happy"" when it should be ""was happy"" and changed ""entkommen zu sein"" to ""escaped"" when ""to have escaped"" is more natural. The phrase ""einer Roten Karte und der Verhängung eines Elfmeters entkommen zu sein"" should be ""to have escaped a red card and a penalty shoot-out"" not ""to have escaped a red card and a penalty shoot-out",Moreno was happy to have escaped a red card and a penalty shoot-out.,19.68,19.68,0,0.8241,0.8172,-0.007
366,"Nach der Höhe der Investitionen gefragt, will sich Thomas Scherer nicht genau festlegen.","Asked about the level of investments, Thomas Scherer doesn't want to commit himself precisely.","When asked about the level of investment, Thomas Scherer does not want to commit himself exactly.","The German ""Nach der Höhe der Investitionen gefragt, will sich Thomas Scherer nicht genau festlegen"" should be ""Asked about the level of investment, Thomas Scherer does not want to commit himself exactly"" not ""When asked about the level of investment, Thomas Scherer does not want to commit himself exactly"" - the model changed ""Nach der Höhe der Investitionen"" to ""When asked about the level of investment","Asked about the level of investment, Thomas Scherer does not want to commit himself exactly.",33.81,43.82,10.01,0.8846,0.8993,0.0147
4853,"US-Präsident Donald Trump deutete an, dass Kanada künftig von Nafta ausgeschlossen werden könnte.",US President Donald Trump indicated that Canada could be excluded from Nafta in future.,US President Donald Trump has hinted that Canada could be excluded from Nafta in the future.,"The German ""deutete an"" should be ""suggested"" not ""hinted"" - this is more formal language. The phrase ""künftig von Nafta ausgeschlossen werden könnte"" should be ""could be excluded from NAFTA"" not ""could be excluded from Nafta"" - the target uses ""NAFTA"" not ""Nafta",US President Donald Trump suggested that Canada could be excluded from NAFTA in the future.,59.98,50.35,-9.62,0.9455,0.9339,-0.0116
4616,"Einige Bewohner, einschliesslich der Blogger, die über die Gentrifizierung des East Village schreiben, haben die Idee des Verkaufs von Extra Place abgelehnt, mit dem Argument, dass dieses öffentliche Grundstück, so bescheiden wie es ist, weiterhin öffentlich bleiben soll.","Some residents, including bloggers who write about the gentrification of the East Village, have opposed the idea of selling Extra Place, arguing that the piece of public property, modest as it is, should remain public.","Some residents, including bloggers who write about the gentrification of the East Village, have rejected the idea of selling Extra Place, arguing that this public land, however small, should remain public.","The German ""Blogger, die über die Gentrifizierung des East Village schreiben"" should be ""Bloggers who write about the gentrification of the East Village"" not ""bloggers who write about the gentrification of the East Village"" - the model changed ""schreiben"" (write) to ""write about"" which is less accurate. The phrase ""die abgelehnt haben die Idee des Verkaufs von Extra Place"" should be ""have rejected the idea of selling Extra Place"" not ""have rejected the idea of selling Extra Place"" - the model changed ""abgelehnt haben"" (have rejected) to ""have rejected"" which is less precise","Some residents, including bloggers who write about the gentrification of the East Village, have rejected the idea of selling Extra Place, with the argument that this public ground, however small, should remain public.",64.98,60.95,-4.03,0.8918,0.8869,-0.0049
175,Erteilen Sie durch Verstecken eine wertvolle und amüsante Lektion über Sicherheit - aber versauen Sie nie jemandes Zimmer mit Zahnpasta und Shampoo.,Teach a valuable and amusing lesson about security by hiding something - but never trash someone's room with toothpaste and shampoo.,Give them a valuable and amusing lesson in safety - but never glue anyone's room shut with toothpaste and shampoo.,"The German ""Verstecken"" should be ""hide"" not ""glue"" - this is a semantic error where the model misunderstood the meaning of ""Verstecken"" as ""glue"" when it should be ""hide"". The phrase ""Zahnpasta und Shampoo"" should be ""toothpaste and shampoo"" not ""toothpaste and shampoo",Hide a valuable and amusing lesson in safety - but never hide someone's room with toothpaste and shampoo.,38.75,48.55,9.8,0.734,0.7418,0.0078
3119,"Sie leben inmitten der Großfamilie, werden geliebt, umsorgt und sind glücklich.","They live among their extended family, are loved, cared for and are happy.","They live in the midst of a large family, are loved, cared for and are happy.","The German ""inmitten der Großfamilie"" should be ""in the middle of a large family"" not ""in the midst of a large family"" - ""in the middle"" is more natural than ""in the midst","They live in the middle of a large family, are loved, cared for and are happy.",57.68,57.68,0,0.8899,0.8901,0.0002
3820,"Wissenschaftler haben zuvor darauf hingedeutet, dass die langsame Umdrehung der Venus durch ihre dichte Atmosphäre erklärt werden könnte.",Scientists have previously suggested that Venus' slow rotation rate is explained by its thick atmosphere.,Scientists have previously suggested that the slow rotation of Venus could be explained by its dense atmosphere.,"The German ""Wissenschaftler haben zuvor darauf hingedeutet"" should be ""Scientists have previously suggested that"" not ""Scientists have previously suggested",Scientists have previously suggested that the slow rotation of Venus could be explained by its dense atmosphere.,31.98,31.98,0,0.9173,0.9173,0
1329,"""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"", bestätigte auch er.","""This is the furthest back that it has been since records began,"" he also confirmed.",He also confirmed that this is the biggest retreat since records began.,"The German ""Das ist der weiteste Rückzug seit Beginn der Aufzeichnungen"" should be ""This is the biggest retreat since records began"" not ""He also confirmed that this is the biggest retreat since records began","This is the biggest retreat since records began, he also confirmed.",11.34,29.99,18.65,0.7235,0.7176,-0.006
3089,"Wenn ich abends mit meinen Patientenniederschriften fertig bin und zu Bett gehe, dann führt mich das Buch zurück in eine Zeit, als die Politik Millionen inspirierte und einem Reden den Atem rauben konnten.","When I'm finished with my patient write-ups at night and get into bed, the book returns me to a time when politics inspired millions and speeches could take your breath away.","When I have finished writing up my patients' notes in the evening and go to bed, the book takes me back to a time when politics inspired millions and could make you hold your breath.","The German ""Niederschriften"" should be ""notes"" not ""patients' notes"" - this is a grammatical error where the model omitted the definite article. The phrase ""zu Bett gehe"" should be ""I go to bed"" not ""go to bed"" - this is a grammatical error where the model changed the tense. The word ""inspirierte"" should be ""inspired"" not ""inspired"" - this is a lexical error where the model changed the spelling. The phrase ""Reden den Atem rauben konnte"" should be ""could make you hold your breath"" not ""could make you hold your breath"" - this is a lexical error where the model changed the structure","When I have finished writing my notes in the evening and I go to bed, the book takes me back to a time when politics inspired millions and could make you hold your breath.",28.92,29.76,0.84,0.8632,0.8416,-0.0216
801,"Nach ihrer Erfahrung setzen weiße feministische Kommentatoren das Geschlecht vor die Rasse, wenn es darum geht, Reproduktionsrecht und Einkommensungleichheiten anzusprechen.","In her experience, white feminist commenters prioritized gender above race when it came to pushing forward reproductive rights and income inequality.","According to her experience, white feminist commentators put gender before race when it comes to reproduction rights and income inequality.","The German ""setzen weiße feministische Kommentatoren das Geschlecht vor die Rasse, wenn es darum geht, Reproduktionsrecht und Einkommensungleichheiten anzusprechen"" should be ""white feminist commentators prioritize gender over race when it comes to reproduction rights and income inequality"" not ""white feminist commentators put gender before race when it comes to reproduction rights and income inequality","According to her experience, white feminist commentators prioritize gender over race when it comes to reproduction rights and income inequality.",37.58,37.58,0,0.9077,0.9134,0.0057
40,"In der Welt profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus - sie bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird.","In this way, virtual operators around the world usually profile themselves as low-cost - they offer inexpensive calling and text messages, which is often balanced out by a more limited offer of services, though.","In the world, the virtual operators usually emerge as low-cost companies - they offer cheap telephone calls and SMS, but this is often accompanied by a less comprehensive range of services.","The German ""profilieren sich so die virtuellen Anbieter normalerweise als Low-Cost-Firmen heraus"" should be ""the virtual operators are positioning themselves as low-cost companies"" not ""the virtual operators usually emerge as low-cost companies"" - this is about positioning, not emerging. The phrase ""bieten billige Telefongespräche und SMS, was allerdings oft von einem weniger umfangreichen Dienstleistungsangebot begleitet wird"" should be ""offer cheap telephone calls and SMS, which is often accompanied by a less comprehensive range of services"" not ""offer cheap telephone calls and SMS, but this is often accompanied by a less comprehensive range of services"" - the model changed ""bieten"" to ""offer"" and simplified ""begleitet wird"" to ""accompanied by","In the world, the virtual operators are positioning themselves as low-cost companies - they offer cheap telephone calls and SMS, which is often accompanied by a less comprehensive range of services.",8.38,15.27,6.88,0.8669,0.8606,-0.0062
4112,"Wir müssen den Gemeinden aun unzähligen, jungen Mädchen, die von Simone, Gabby und Laurie inspiriert werden, ein leistbareres und leichter zugängliches Turntrainung ermöglichen.","We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie.","We need to give aun unzähligen, jungen Mädchen, who are inspired by Simone, Gabby and Laurie, a more effective and more accessible gymnastics training.","The German ""aun unzähligen, jungen Mädchen"" should be ""many young girls"" not ""aun unzähligen, jungen Mädchen","We need to give many young girls, who are inspired by Simone, Gabby and Laurie, a more effective and more accessible gymnastics training.",34.59,39.28,4.69,0.6588,0.864,0.2052
2703,"Es ist auch kein Horden durch Hobbysammlern - es hat eine emotionale Bedeutung: ältere Plattenkäufer behalten ihre Gefühle eher für sich (56 % vs. 53 %) und genießen es, alleine Zeit zu verbringen (69 % vs. 66 %).","It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",It's not just a matter of hobby collectors - it has an emotional meaning: older record buyers tend to keep their feelings to themselves (56% vs. 53%) and enjoy spending time alone (69% vs. 66%).,"The German ""Horden durch Hobbysammlern"" should be ""hordes of collectors"" not ""hobby collectors"" - ""Horden"" means ""hordes"" not ""hobby collectors",It's not just hordes of collectors - it has an emotional meaning: older record buyers tend to keep their feelings to themselves (56% vs. 53%) and enjoy spending time alone (69% vs. 66%).,37.47,37.38,-0.09,0.8889,0.8706,-0.0182
4165,"Nhaijah Russell, ein sechsjähriges Mädchen, das vor kurzem vier Spritzer von nach Erdbeere duftendem Händedesinfektionsmittel in der Schule eingenommen hatte, wurde in eine Notaufnahme zur Behandlung gebracht.","Nhaijah Russell, a six-year-old girl who recently ingested as many as four squirts of strawberry-scented hand sanitizer at school, was taken to an emergency room for treatment.","Nhaijah Russell, a six-year-old girl who recently ate four squirts of hand sanitiser that smelled like strawberries, was taken to hospital in an ambulance.","The German ""Nhaijah Russell, ein sechsjähriges Mädchen, das vor kurzem vier Spritzer von nach Erdbeere duftendem Händedesinfektionsmittel in der Schule eingenommen hatte"" should be ""Nhaijah Russell, a six-year-old girl who recently ate four squirts of hand sanitizer that smelled like strawberries at school"" not ""Nhaijah Russell, a six-year-old girl who recently ate four squirts of hand sanitiser that smelled like strawberries at school"" - the German ""Händedesinfektionsmittel"" should be ""hand sanitizer"" not ""hand sanitiser"" and ""eingenommen hatte"" should be ""ate"" not ""eaten","Nhaijah Russell, a six-year-old girl who recently ate four squirts of hand sanitizer that smelled like strawberries at school, was taken to hospital in an ambulance.",36.5,45.37,8.86,0.8281,0.8369,0.0088
697,Die CD führt mehr Verbindungslinien SC Pendolino zwischen Prag und Ostrava ein und die Züge nach Sumperk/Jesenik werden im Zeitabstand von zwei Stunden fahren.,Czech Railways is introducing more Pendolino routes between Prague and Ostrava and trains to Šumperk/Jeseník will run on two-hour intervals.,"The CD is introducing more SC Pendolino connections between Prague and Ostrava, and the trains to Sumperk/Jesenik will be running at two-hour intervals.","The German ""SC Pendolino"" should be ""SC Pendolino trains"" not ""SC Pendolino connections"" - this is about specific trains, not general connections. The phrase ""Verbindungslinien"" should be ""trains"" not ""connections"" - this is about specific train routes, not general connections. The phrase ""Züge nach Sumperk/Jesenik"" should be ""trains to Sumperk/Jesenik"" not ""trains to Sumperk/Jesenik"" - the target uses ""trains"" instead of repeating the destination names. The word ""im Zeitabstand von zwei Stunden"" should be ""at two-hour intervals"" not ""at two-hour intervals",The CD is introducing more SC Pendolino trains between Prague and Ostrava and the trains to Sumperk/Jesenik will be running at two-hour intervals.,18.67,25.17,6.5,0.8047,0.8026,-0.0021
4359,"Für mich stellte das die größte Attraktion Heathrows dar, genauso wie damals in 2012 in London, als wir einen großen Aufwand betrieben, um sicherzustellen, dass all unsere Nationen und Regionen von den Spielen profitierten.","For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.","For me, that was the greatest attraction of Heathrow, just as it was in 2012 in London, when we made a great effort to ensure that all our nations and regions benefited from the Games.",the translation accurately captures the meaning,"For me, that was the greatest attraction of Heathrow, just as it was in 2012 in London, when we made a great effort to ensure that all our nations and regions benefited from the Games.",56.33,56.33,0,0.9159,0.9159,0
3458,Rund 80 Tiere aus fünf verschiedenen Kontinenten genießen jede Streicheleinheit.,About 80 animals from five different continents enjoy every bit of attention.,Around 80 animals from five different continents are enjoying every stroke.,"The German ""jede Streicheleinheit"" should be ""each stroke"" not ""every stroke"" - this is about the number of strokes, not the number of strokes per animal. The phrase ""Rund 80 Tiere aus fünf verschiedenen Kontinenten"" should be ""around 80 animals from five different continents"" not ""around 80 animals from five different continents are enjoying"" - this is about the number of animals, not their enjoyment of strokes. The word ""genießen"" should be ""enjoy"" not ""are enjoying"" - this is about the animals' enjoyment, not their enjoyment of strokes. The phrase ""jede Streicheleinheit"" should be ""each stroke"" not ""every stroke"" - this is about the number of strokes, not the number of strokes per animal",Around 80 animals from five different continents enjoy each stroke.,41.25,49.2,7.95,0.7196,0.7333,0.0136
1288,"Auβerdem beinhaltet diese Version auch noch, als wenn das noch nicht genug an Ausstattung wäre, das Paket Premium, welches für zusätzliche 1.500 Euro folgendes enthält: neben weiteren Elementen vor allem die lernfähigen Bixenon-Scheinwerfer und das Soundsystem BOSE mit CD-Lader.","Additionally, with less equipment, this version comes with the Premium Pack, which, for 1,500 euros, also features: bi-xenon adaptive headlights and a BOSE sound system with CD changer, among other things.","In addition, this version also includes the Premium package, which costs an additional 1,500 euros and includes, among other things, the Bixenon learning headlights and the BOSE sound system with CD player.","The German ""als wenn das noch nicht genug an Ausstattung wäre"" should be ""as if that was not enough"" not ""which costs an additional 1,500 euros"" - the model completely misunderstood the meaning of ""als wenn das noch nicht genug an Ausstattung wäre","In addition, this version also includes, as if that was not enough, the Premium package, which includes, among other things, the Bixenon learning headlights and the BOSE sound system with CD-Lader.",22.87,18.73,-4.14,0.7908,0.7609,-0.0299
2364,"Soviel im Voraus:""Mathieu (Debuchy), Yohan (Cabaye) und Adil (Rami) werden dabei sein"", vergegenwärtigt er.","All the more so, since opposite are Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) ,"" he recalls.","So much in advance: 'Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there', he says.","The German ""Soviel im Voraus"" should be ""So much in advance"" not ""So much in advance","So much in advance: ""Mathieu (Debuchy), Yohan (Cabaye) and Adil (Rami) will be there"", he says.",47.4,50.07,2.67,0.6663,0.6751,0.0088
2289,"Das Problem ist, dass Deutschland Wagner spielen will und die anderen Länder die neunte Sinfonie Beethovens.",The problem is that Germany wants to play Wagner and the rest the hymn of joy of Beethoven.,The problem is that Germany wants to play Wagner and the other countries want to play the Ninth Symphony by Beethoven.,"The German ""Das Problem ist"" should be ""The problem is that"" not ""The problem is that"" - this is a grammatical error where the model added ""that"" where it should be ""that",The problem is that Germany wants to play Wagner and the other countries want to play the ninth symphony by Beethoven.,50.13,50.13,0,0.8025,0.8104,0.0079
1940,"Adam Fitzpatrick, Neighbourhood Enforcement Manager von Cornwall Housing, sagte aus, dass es die Familie verabsäumt hätte mit den lokalen Behörden zu kooperieren.","Adam Fitzpatrick, Cornwall Housing's neighbourhood enforcement manager, said the family failed to cooperate with the local authority.","Adam Fitzpatrick, Cornwall Housing's Neighbourhood Enforcement Manager, said the family had failed to co-operate with local authorities.","The German ""verabsäumt hätte mit den lokalen Behörden zu kooperieren"" should be ""failed to engage with local authorities"" not ""failed to co-operate with local authorities"" - ""verabsäumt hätte"" means ""failed to engage"" not ""failed to cooperate","Adam Fitzpatrick, Cornwall Housing's Neighbourhood Enforcement Manager, said the family had failed to engage with local authorities.",34.67,34.67,0,0.9181,0.9044,-0.0137
2228,"Ich bin sehr emotional, weil meine Familie auch hier ist",I'm very emotional because my family are here as well,I am very emotional because my family is here.,"The German ""Ich bin sehr emotional"" should be ""I am very emotional"" not ""I am very emotional because"" - this is about the speaker's emotional state, not the reason for it. The phrase ""meine Familie auch hier ist"" should be ""my family is also here"" not ""my family is here"" - the target emphasizes that the speaker's family is also present, not just that the family is present. The model's translation omits the speaker's emotional state and emphasizes the family's presence",I am very emotional because my family is also here.,41.11,36.72,-4.39,0.9551,0.9581,0.003
1175,"Er muss auch ein Mitbestimmungsrecht bei Entscheidungen haben, die die Leistung des Teams beeinflussen.",He must also have a say in the decisions that impact the team's performance.,He must also have a say in decisions that affect the team's performance.,"The German ""Mitbestimmungsrecht bei Entscheidungen"" should be ""participation in decision-making"" not ""a say in decisions"" - this is about formal participation rights, not informal influence. The phrase ""die Leistung des Teams beeinflussen"" should be ""influence the performance of the team"" not ""affect the team's performance"" - the target is more specific about influencing performance. The word ""Mitbestimmungsrecht"" is about formal participation rights, not informal influence",He must also have the right to participate in decisions that influence the performance of the team.,61.42,18.61,-42.82,0.9567,0.9032,-0.0534
4550,"Jetzt, ohne das kritische Sektoren auf der Lauer liegen, könnte der Zeitpunkt gekommen sein, um diese Angelegenheit wieder aufzugreifen und für immer abzuschließen.","Now, without critical sectors on the matter, could be a good moment to retake it and try to close it for always.","Now, without the critical sectors lying in wait, the time may have come to reopen this matter and put it to bed for good.",the translation accurately captures the meaning,"Now, without the critical sectors lying in wait, the time may have come to reopen this matter and put it to bed for good.",8.55,8.55,0,0.7807,0.7807,0
3350,"Doch die Bayern, in sieben Europacup-Duellen mit griechischen Teams unbesiegt, wollten nicht das nächste Opfer sein.","But Bayern, undefeated in seven Europa Cup duels with Greek teams, did not want to be the next victim.","But the Bavarians, unbeaten in seven European Cup duels with Greek teams, did not want to be the next victim.","The German ""Bayern"" should be ""Bayern Munich"" not just ""Bavarians"" - this is a specific football team. The phrase ""in sieben Europacup-Duellen mit griechischen Teams unbesiegt"" should be ""unbeaten in seven European Cup matches against Greek teams"" not ""unbeaten in seven European Cup duels with Greek teams"" - ""Duellen"" means ""matches"" not ""duels","But Bayern Munich, unbeaten in seven European Cup matches against Greek teams, did not want to be the next victim.",67.63,56.11,-11.52,0.899,0.9065,0.0076
